Latitude,Longitude,ValidDate,AQI,PM2.5,PM10,O3,NO2,CO,SO2
36.598671,-121.838383,09-01-25,141,6.8,17,24,5.1,0.2,0.2
36.577939,-121.715517,09-01-25,92,6.8,17,24,5.1,0.2,0.2
36.596824,-121.706649,09-01-25,55,6.8,17,24,5.1,0.2,0.2
36.625659,-121.643246,09-01-25,50,6.8,17,24,5.1,0.2,0.2
36.609014,-121.829122,09-01-25,13,6.8,17,24,5.1,0.2,0.2
36.617972,-121.6879,09-01-25,99,6.8,17,24,5.1,0.2,0.2
36.613169,-121.827594,09-01-25,73,6.8,17,24,5.1,0.2,0.2
36.572725,-121.804919,09-01-25,76,6.8,17,24,5.1,0.2,0.2
36.569272,-121.755291,09-01-25,83,6.8,17,24,5.1,0.2,0.2
38.3108,-122.295,09-01-25,44,6.8,17,24,5.1,0.2,0.2
38.278849,-122.275024,09-01-25,63,6.8,17,24,5.1,0.2,0.2
39.234402,-121.055603,09-01-25,37,2.7,17,55,5.1,0.2,0.2
39.31779,-120.84527,09-01-25,78,6.8,17,24,5.1,0.2,0.2
39.327852,-120.184617,09-01-25,7,11.2,17,24,5.1,0.2,0.2
33.830586,-117.938509,09-01-25,23,10.1,17,27,7.1,0.2,0.2
33.819305,-117.918759,09-01-25,124,6.8,17,24,22,0.8,0.2
33.674543,-117.925587,09-01-25,35,6.8,17,24,5.1,0.2,0.2
33.629991,-117.675875,09-01-25,74,6.8,17,24,5.1,0.2,0.2
33.925062,-117.952586,09-01-25,9,6.8,17,26,10.1,0.1,0.2
38.937801,-121.103897,09-01-25,19,5,17,44,5.1,0.2,0.2
39.1003,-120.9528,09-01-25,65,6,17,42,5.1,0.2,0.2
38.74643,-121.26498,09-01-25,89,6.8,20,30,18.2,0.2,0.2
39.166,-120.1488,09-01-25,13,9,17,40,5.1,0.2,0.2
38.89,-121.3,09-01-25,10,6,17,35,5.1,0.2,0.2
39.9395,-120.9443,09-01-25,67,4.6,17,24,5.1,0.2,0.2
40.301899,-121.235001,09-01-25,137,9,17,24,5.1,0.2,0.2
39.8134,-120.4707,09-01-25,23,8.4,17,24,5.1,0.2,0.2
39.9369,-120.9478,09-01-25,23,6.8,17,24,5.1,0.2,0.2
33.971699,-117.530296,09-01-25,72,6.8,17,24,5.1,0.2,0.2
33.74127,-115.82041,09-01-25,37,6.8,17,24,5.1,0.2,0.2
33.7472,-115.8201,09-01-25,75,6.8,17,42,5.1,0.2,0.2
33.920758,-116.858419,09-01-25,31,11.3,17,77,4.9,0.2,0.2
33.583099,-117.072197,09-01-25,0,5.3,28,39,5.1,0.2,0.2
33.741699,-117.958099,09-01-25,51,6.8,17,24,5.1,0.2,0.2
33.93983,-115.41085,09-01-25,2,6.8,17,24,5.1,0.2,0.2
33.708566,-116.215394,09-01-25,42,6.8,17,24,5.1,0.2,0.2
33.572019,-116.063823,09-01-25,165,6.8,35,24,5.1,0.2,0.2
33.852605,-116.540965,09-01-25,93,6.8,43,91,2.8,0.2,0.2
33.789331,-117.227639,09-01-25,2,6.8,17,24,5.1,0.2,0.2
33.999449,-117.415831,09-01-25,109,5.5,27,40,6,0.2,0.4
33.996387,-117.4925,09-01-25,57,9.2,37,34,7.9,0.2,0.2
33.676535,-117.331027,09-01-25,59,10.9,24,56,3.4,0.2,0.2
33.61235,-114.60209,09-01-25,15,6.8,17,37,5.1,0.2,0.2
38.71209,-121.38109,09-01-25,14,6.8,17,24,5.1,0.2,0.2
38.613804,-121.368007,09-01-25,62,7,17,27,5.1,0.2,0.2
